ENSMUSG00000061778	NM_001290523#Mospd2
ENSMUSG00000023443	NM_007957#Esx1
ENSMUSG00000034055	NM_008832#Phka1
ENSMUSG00000056380	NM_010340#Gpr50
ENSMUSG00000067571	NM_001034898#Ms4a15
ENSMUSG00000024331	NM_013505#Dsc2
ENSMUSG00000036225	NM_134112#Kctd1
ENSMUSG00000024240	NM_007935#Epc1
ENSMUSG00000045053	NM_153512#Kcng3
ENSMUSG00000023999	NM_177052#Kif6
ENSMUSG00000095253	NM_177359#Zfp799
ENSMUSG00000037098	NM_153140#Rab11fip3
ENSMUSG00000045744	NM_175682#Bricd5
ENSMUSG00000041831	NM_183368#Sytl3
ENSMUSG00000022914	NM_145125#Brwd1
ENSMUSG00000033031	NM_172616#Cip2a
ENSMUSG00000022661	NM_010818#Cd200
ENSMUSG00000022838	NM_134111#Eaf2
ENSMUSG00000022842	NM_177942#Ece2
ENSMUSG00000023030	NM_008732#Slc11a2
ENSMUSG00000044703	NM_172603#Phf11a
ENSMUSG00000007591	NM_001253888#Tssk4
ENSMUSG00000007591	NM_001253889#Tssk4
ENSMUSG00000051969	NM_205819#Tlr11
ENSMUSG00000046210	NM_001011754#Or4q3
ENSMUSG00000021910	NM_001347583#Nisch
ENSMUSG00000021567	NM_028186#Nkd2
ENSMUSG00000021417	NM_001110331#Eci2
ENSMUSG00000021347	NM_029355#Prl7b1
ENSMUSG00000021257	NM_144524#Angel1
ENSMUSG00000090258	NM_206534#Churc1
ENSMUSG00000047798	NM_001169153#Cd300lf
ENSMUSG00000020932	NM_001131020#Gfap
ENSMUSG00000020905	NM_001291049#Usp43
ENSMUSG00000069855	NM_001033542#Slc47a2
ENSMUSG00000043284	NM_001168507#Tmem11
ENSMUSG00000042569	NM_145428#Dhrs7b
ENSMUSG00000005417	NM_201245#Mprip
ENSMUSG00000020037	NM_027689#Rfx4
ENSMUSG00000004933	NM_010768#Matk
ENSMUSG00000039716	NM_153413#Dock3
ENSMUSG00000058270	NM_146870#Or8c9
ENSMUSG00000041248	NM_001168354#Kcnj1
ENSMUSG00000006241	NM_025977#Ccdc159
ENSMUSG00000032187	NM_001174078#Smarca4
ENSMUSG00000059475	NM_146221#Zfp426
ENSMUSG00000025892	NM_001113181#Gria4
ENSMUSG00000031824	NM_001163762#6430548M08Rik
ENSMUSG00000054320	NM_001033371#Lrrc36
ENSMUSG00000031883	NM_001301164#Car7
ENSMUSG00000110430	NM_181990#Cmtm1
ENSMUSG00000031789	NM_145601#Cngb1
ENSMUSG00000056155	NM_001357361#Nanos3
ENSMUSG00000031441	NM_015804#Atp11a
ENSMUSG00000037606	NM_024289#Osbpl5
ENSMUSG00000030994	NM_001199941#D7Ertd443e
ENSMUSG00000042055	NM_172255#Wdr11
ENSMUSG00000094531	NM_001011755#Or52e8
ENSMUSG00000094063	NM_147120#Or51q1c
ENSMUSG00000094520	NM_147118#Or51q1
ENSMUSG00000073955	NM_146380#Or52s1
ENSMUSG00000031493	NM_182694#Ggn
ENSMUSG00000030411	NM_001029877#Nova2
ENSMUSG00000070873	NM_001081239#Lilra5
ENSMUSG00000000811	NM_153162#Txnrd3
ENSMUSG00000030057	NM_013493#Cnbp
ENSMUSG00000029784	NM_027073#Ssmem1
ENSMUSG00000039296	NM_029048#Spdye4a
ENSMUSG00000034173	NM_183088#Zbed5
ENSMUSG00000029490	NM_172883#Slc49a3
ENSMUSG00000057315	NM_001346585#Arhgap24
ENSMUSG00000106677	NM_053184#Ugt2a1
ENSMUSG00000029253	NM_007683#Cenpc1
ENSMUSG00000005107	NM_001102414#Slc2a9
ENSMUSG00000051246	NM_207277#Msantd1
ENSMUSG00000038319	NM_001294162#Kcnh2
ENSMUSG00000060862	NM_198248#Zbtb40
ENSMUSG00000041530	NM_001317173#Ago1
ENSMUSG00000028642	NM_029198#Tmem269
ENSMUSG00000038729	NM_001035532#Pakap
ENSMUSG00000028441	NM_001048005#Spmip6
ENSMUSG00000037922	NM_001033350#Bank1
ENSMUSG00000028167	NM_001172055#Bdh2
ENSMUSG00000040969	NM_029953#Arhgef38
ENSMUSG00000048458	NM_175398#Inka2
ENSMUSG00000051777	NM_177585#Iqcj
ENSMUSG00000038671	NM_001165995#Arfrp1
ENSMUSG00000027574	NM_021426#Nkain4
ENSMUSG00000027525	NM_001177790#Phactr3
ENSMUSG00000027551	NM_001369059#Zfp64
ENSMUSG00000027547	NM_201395#Sall4
ENSMUSG00000078919	NM_010072#Dpm1
ENSMUSG00000042745	NM_001369018#Id1
ENSMUSG00000002728	NM_026425#Naa20
ENSMUSG00000033486	NM_153075#Catsper2
ENSMUSG00000040434	NM_172670#Large2
ENSMUSG00000027075	NM_001081349#Slc43a1
ENSMUSG00000026890	NM_001083125#Lhx6
ENSMUSG00000026643	NM_008708#Nmt2
ENSMUSG00000026721	NM_001038621#Rabgap1l
ENSMUSG00000026272	NM_016702#Agxt
ENSMUSG00000073650	NM_001379457#Catip
ENSMUSG00000072295	NM_175200#C2cd6
ENSMUSG00000002459	NM_001177795#Rgs20
ENSMUSG00000031354	NM_001415990#Amelx
ENSMUSG00000049176	NM_001033330#Frmpd4
ENSMUSG00000061778	XM_030251516#Mospd2
ENSMUSG00000031380	NM_001410630#Vegfd
ENSMUSG00000031367	NM_026887#Ap1s2
ENSMUSG00000045180	NM_001359158#Shroom2
ENSMUSG00000031285	XM_006528698#Dcx
ENSMUSG00000031431	XM_006528503#Tsc22d3
ENSMUSG00000052854	XM_006528550#Nrk
ENSMUSG00000000223	XM_011247730#Drp2
ENSMUSG00000031256	NM_001359054#Cstf2
ENSMUSG00000051323	XM_006528556#Pcdh19
ENSMUSG00000051323	NM_001105245#Pcdh19
ENSMUSG00000025665	NM_025949#Rps6ka6
ENSMUSG00000000881	NM_001177780#Dlg3
ENSMUSG00000045103	NM_001314038#Dmd
ENSMUSG00000045103	NM_001314035#Dmd
